last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Snell, Blake,605483,49.2,,,13.6,18.6,18.6,,,,
Cole, Gerrit,543037,53.9,,6.6,21.1,7.2,11.2,,,,
Cease, Dylan,656302,42.5,,,38.6,3.1,15.8,,,,
Keller, Mitch,656605,25.4,23.2,23.3,,3.0,8.6,,,16.6,
Nola, Aaron,605400,29.5,18.7,7.9,,11.9,32.0,,,,
Castillo, Luis,622491,43.9,17.9,,22.8,15.5,,,,,
Lynn, Lance,458681,43.2,12.1,23.5,5.7,7.0,8.3,,,0.2,
Wheeler, Zack,554430,41.9,18.0,0.1,15.5,0.3,11.8,,,12.5,
Webb, Logan,657277,3.5,35.6,,20.7,40.2,,,,,
Gallen, Zac,668678,48.6,0.4,10.1,3.6,13.4,23.8,,,,
Bassitt, Chris,605135,10.4,39.1,15.2,4.8,5.4,12.1,3.7,,9.4,
Strider, Spencer,675911,59.0,,,33.9,7.1,,,,,
Alcantara, Sandy,645261,21.6,29.0,,20.4,27.4,1.6,,,,
Mikolas, Miles,571945,24.5,26.2,,23.8,5.6,19.8,,,,
Giolito, Lucas,608337,43.7,,,29.6,25.1,1.6,,,,
Burnes, Corbin,669203,,8.5,54.7,7.1,12.0,17.8,,,,
Gibson, Kyle,502043,12.8,25.3,16.9,,18.4,8.8,,,17.8,
Gausman, Kevin,592332,50.3,,,10.7,,,38.4,,0.6,
López, Pablo,641154,35.3,10.5,,,20.7,12.8,,,20.7,
Morton, Charlie,450203,32.3,7.1,7.1,,9.7,43.8,,,,
Luzardo, Jesús,666200,45.6,4.1,0.4,28.3,21.5,,,,,
Elder, Bryce,693821,12.9,38.2,,36.1,12.9,,,,,
Oviedo, Johan,670912,37.6,5.1,,36.8,4.7,15.8,,,,
Corbin, Patrick,571578,17.1,42.4,,34.2,6.3,,,,,
Peralta, Freddy,642547,51.6,,,21.9,13.5,13.0,,,,
Valdez, Framber,664285,0.3,48.2,12.3,,15.1,24.1,,,,
Kremer, Dean,665152,35.8,15.3,23.4,,12.6,9.0,,,3.9,
Berríos, José,621244,21.4,29.7,,,19.3,,,,,29.7
Sears, JP,676664,49.8,,,12.7,14.0,,,,23.6,
Gilbert, Logan,669302,42.7,0.3,,28.3,,14.4,14.3,,,
Gray, Josiah,680686,19.2,14.6,16.8,26.7,1.0,16.2,,,5.5,
Montgomery, Jordan,656756,10.3,42.8,1.8,,23.9,21.2,,,,
Kikuchi, Yusei,579328,46.0,,,25.9,10.7,17.4,,,,
Singer, Brady,663903,,51.0,,42.0,6.4,,,,0.6,
Gray, Sonny,543243,26.0,16.0,14.1,,6.6,17.6,,,19.8,
Brown, Hunter,686613,44.5,0.2,,24.5,,24.4,4.6,,1.8,
Lyles, Jordan,543475,32.5,11.6,7.4,0.0,10.8,14.3,,,23.4,
Williams, Trevor,592866,45.2,13.9,,15.4,16.0,6.8,,,2.8,
Gore, MacKenzie,669022,59.4,,,18.1,2.9,19.0,,,0.6,
Javier, Cristian,664299,58.4,,,30.9,3.3,7.5,,,,
Hill, Rich,448179,33.7,3.6,15.8,1.0,2.3,36.2,,,7.4,
Scherzer, Max,453286,46.5,,10.4,16.8,14.2,12.1,,,,
Kirby, George,669923,40.0,21.6,,19.1,2.2,12.8,4.3,,,
Ashcraft, Graham,668933,,9.7,52.9,37.4,,,,,,
Cobb, Alex,502171,0.3,40.0,,5.5,,16.3,37.9,,,
Flaherty, Jack,656427,40.6,2.0,10.1,24.9,3.3,19.2,,,,
Walker, Taijuan,592836,16.8,24.1,17.3,,,5.1,33.6,,3.1,
Schmidt, Clarke,657376,,23.7,27.8,,1.1,19.4,,,27.9,
Kopech, Michael,656629,62.2,,,25.8,7.7,4.2,,,,
Sandoval, Patrick,663776,25.9,9.7,,27.1,26.1,9.0,,,2.3,
Steele, Justin,657006,63.0,1.7,,33.8,0.9,0.5,,,,
Ryan, Joe,657746,57.2,,,4.0,,,27.9,,10.9,
Bradish, Kyle,680694,23.8,19.7,,30.0,9.1,17.4,,,,
Darvish, Yu,506433,16.6,18.7,9.1,17.5,0.1,11.7,7.7,,18.5,
Heaney, Andrew,571760,57.7,,,24.5,17.7,0.0,,,,
Kelly, Merrill,518876,29.3,12.7,16.8,5.3,23.5,12.4,,,,
Freeland, Kyle,607536,17.9,29.0,,24.2,11.3,17.6,,,,
Detmers, Reid,672282,42.9,,,34.0,2.5,19.4,,,1.2,
Dunning, Dane,641540,3.6,33.3,20.7,21.9,15.7,4.8,,,,
Smyly, Drew,592767,,40.2,12.0,,,47.7,,,,
Gomber, Austin,596295,43.9,1.3,,20.0,18.1,16.8,,,,
Eflin, Zach,621107,5.0,31.9,26.7,0.3,5.1,28.1,,,2.9,
Bello, Brayan,678394,20.2,37.2,1.8,17.0,23.9,,,,,
Anderson, Tyler,542881,36.3,5.6,22.2,0.4,35.1,0.2,,,0.2,
Verlander, Justin,434378,51.1,,,25.6,4.3,19.0,,,,
Garrett, Braxton,666129,6.9,30.6,17.8,25.9,9.8,9.0,,,,
Waldichuk, Ken,686610,54.1,,,,15.9,1.7,,,28.2,
Ohtani, Shohei,660271,32.8,6.0,15.9,0.2,,3.6,6.5,,35.1,
Lorenzen, Michael,547179,35.2,11.3,0.9,23.2,22.0,0.6,,,6.9,
Bibee, Tanner,676440,47.1,,,28.0,16.0,8.9,,,,
Stroman, Marcus,573186,8.1,46.6,9.8,5.3,,,7.7,,,22.6
Nelson, Ryne,669194,53.3,,15.6,11.1,14.3,5.8,,,,
Taillon, Jameson,592791,34.1,11.2,21.7,0.5,3.2,15.3,,,14.0,
Gray, Jon,592351,41.9,,,33.2,11.2,6.3,,,7.4,
Pérez, Martín,527048,4.1,41.7,24.3,1.1,26.7,2.0,,,,
Ober, Bailey,641927,46.0,,,20.5,26.2,7.3,,,,
Pivetta, Nick,601713,50.7,,,18.7,,25.7,0.6,,4.3,
Rodriguez, Eduardo,593958,43.3,9.8,20.1,7.9,19.0,,,,,
Weaver, Luke,596133,43.8,0.1,7.1,12.7,20.7,12.1,,,3.6,
